We	O
therefore	O
allow	O
the	O
appeal	O
to	O
this	O
extent	O
:	O
we	O
quash	B-decision_quashed
the	O
consecutive	O
sentence	O
of	O
eight	O
months	O
'	O
imprisonment	O
imposed	O
below	O
for	O
the	O
offence	O
against	O
Mr	O
Ripley	O
and	O
we	O
substitute	O
for	O
it	O
a	O
concurrent	O
sentence	O
of	O
eight	O
months	O
'	O
imprisonment	O
.	O
Thus	O
the	O
total	O
sentence	O
becomes	O
one	O
of	O
two	O
years	O
'	O
imprisonment	O
.	O

The	O
facts	O
of	O
offences	O
are	O
that	O
on	O
23rd	B-date_of_offence
October	I-date_of_offence
2018	I-date_of_offence
the	O
victim	O
(	O
aged	O
58	O
)	O
was	O
at	O
his	B-victim_is_male
home	O
address	O
watching	O
television	O
in	O
his	B-victim_is_male
living	O
room	O
when	O
the	O
co	O
-	O
accused	O
PA	O
,	O
armed	O
with	O
a	O
claw	O
hammer	O
,	O
burst	O
through	O
the	O
door	O
and	O
struck	O
the	O
victim	O
fifteen	O
times	O
on	O
the	O
arms	O
and	O
legs	O
using	O
the	O
claw	O
hammer	O
.	O
He	B-offence
threatened	I-offence
to	I-offence
break	I-offence
every	I-offence
bone	I-offence
in	I-offence
the	I-offence
victim	I-offence
'	I-offence
s	I-offence
body	I-offence
unless	O
he	O
opened	O
the	O
back	O
door	O
,	O
which	O
he	O
did	O
.	O
This	O
allowed	O
the	O
applicant	O
together	O
with	O
the	O
third	O
co	O
-	O
accused	O
to	O
enter	O
the	O
premises	O
.	O
As	O
shown	O
on	O
the	O
CCTV	O
,	O
they	O
had	O
hoods	O
pulled	O
up	O
to	O
disguise	O
their	O
appearance	O
.	O
They	O
pushed	O
the	O
victim	O
back	O
into	O
his	B-victim_is_male
living	O
room	O
.	O
The	O
applicant	O
struck	O
the	O
victim	O
in	O
the	O
face	O
a	O
few	O
times	O
and	O
they	O
demanded	O
to	O
know	O
where	O
the	O
money	O
was	O
.	O
They	O
demanded	O
bagged	O
cannabis	O
from	O
the	O
victim	O
,	O
who	O
told	O
them	O
that	O
he	O
had	O
none	O
.	O
He	O
did	O
have	O
fifteen	O
cannabis	O
plants	O
upstairs	O
,	O
but	O
when	O
told	O
to	O
cut	O
them	O
down	O
he	O
said	O
that	O
the	O
plants	O
were	O
not	O
ready	O
to	O
be	O
harvested	O
.	O

At	O
some	O
time	O
before	O
midnight	O
on	O
8	O
December	O
2015	O
,	O
Charlotte	O
Brown	O
suffered	O
fatal	O
injuries	O
when	O
the	O
appellant	O
'	O
s	O
speedboat	O
struck	O
a	O
submerged	O
tree	O
on	O
the	O
river	O
Thames	O
.	O
It	O
was	O
not	O
in	O
issue	O
that	O
,	O
at	O
times	O
during	O
that	O
trip	O
,	O
the	O
boat	O
was	O
travelling	O
at	O
excessive	O
speed	O
and	O
that	O
Ms	B-victim_is_female
Brown	O
,	O
who	O
had	O
no	O
experience	O
of	O
driving	O
a	O
speedboat	O
and	O
who	O
,	O
along	O
with	O
the	O
appellant	O
,	O
had	O
been	O
drinking	O
alcohol	O
,	O
was	O
at	O
the	O
wheel	O
at	O
the	O
time	O
of	O
the	O
incident	O
.	O

iii	O
)	O
The	O
appellant	O
had	O
driven	O
at	O
speeds	O
well	O
in	O
excess	O
of	O
the	O
speed	O
limit	O
,	O
allowing	O
Ms	B-victim_is_female
Brown	O
to	O
take	O
the	O
wheel	O
,	O
knowing	O
how	O
much	O
alcohol	O
she	O
had	O
consumed	O
and	O
that	O
she	O
had	O
no	O
experience	O
of	O
driving	O
speed	O
boats	O
;	O
he	O
had	O
failed	O
to	O
intervene	O
when	O
she	O
,	O
following	O
his	O
example	O
,	O
drove	O
at	O
excessive	O
speed	O
.	O

The	O
defence	O
case	O
was	O
that	O
the	O
appellant	O
had	O
not	O
owed	O
a	O
duty	O
of	O
care	O
to	O
Ms	B-victim_is_female
Brown	O
.	O
Furthermore	O
,	O
there	O
was	O
no	O
reasonably	O
foreseeable	O
risk	O
of	O
death	O
and	O
,	O
in	O
any	O
event	O
,	O
no	O
act	O
or	O
omission	O
of	O
his	O
was	O
a	O
substantial	O
cause	O
of	O
death	O
.	O
As	O
for	O
the	O
alleged	O
negligence	O
,	O
he	O
denied	O
that	O
:	O

Although	O
the	O
appellant	O
admitted	O
helming	O
the	O
boat	O
while	O
drunk	O
,	O
that	O
matter	O
was	O
not	O
""""	O
the	O
""""	O
or	O
even	O
""""	O
an	O
""""	O
offence	O
under	O
consideration	O
on	O
8	O
or	O
9	O
December	O
.	O
The	O
police	O
did	O
not	O
know	O
how	O
or	O
what	O
had	O
led	O
to	O
the	O
capsizing	O
of	O
the	O
boat	O
.	O
Further	O
,	O
for	O
the	O
purposes	O
of	O
Code	O
C	O
10	O
.	O
1	O
and	O
the	O
Notes	O
for	O
Guidance	O
10A	O
of	O
PACE	O
,	O
the	O
information	O
which	O
was	O
then	O
available	O
did	O
not	O
provide	O
reasonable	O
or	O
objective	O
grounds	O
to	O
suspect	O
him	O
of	O
any	O
offence	O
,	O
let	O
alone	O
unlawfully	O
killing	O
Ms	B-victim_is_female
Brown	O
.	O

In	O
our	O
judgment	O
,	O
the	O
correspondence	O
reveals	O
an	O
exchange	O
of	O
information	O
about	O
the	O
different	O
approaches	O
to	O
breach	O
of	O
bail	O
,	O
particularly	O
in	O
the	O
context	O
of	O
specialty	O
.	O
At	O
no	O
stage	O
does	O
Ms	B-victim_is_female
Riley	O
formally	O
request	O
consent	O
to	O
pursue	O
the	O
appellant	O
for	O
his	O
breach	O
of	O
bail	O
and	O
nothing	O
in	O
Mr	O
Bagdavadze	O
'	O
s	O
response	O
(	O
even	O
assuming	O
that	O
he	O
has	O
the	O
necessary	O
authority	O
to	O
consent	O
)	O
can	O
be	O
taken	O
as	O
consent	O
on	O
behalf	O
of	O
the	O
Republic	O
of	O
Georgia	O
.	O
In	O
those	O
circumstances	O
,	O
there	O
was	O
no	O
basis	O
in	O
the	O
extradition	O
from	O
Georgia	O
to	O
pursue	O
the	O
appellant	O
for	O
his	O
breach	O
of	O
bail	O
and	O
the	O
proceedings	O
against	O
him	O
are	O
a	O
nullity	O
.	O
His	O
appeal	O
in	O
relation	O
to	O
this	O
aspect	O
of	O
the	O
case	O
,	O
therefore	O
,	O
succeeds	O
.	O

xii	O
)	O
Records	O
revealed	O
that	O
the	O
matter	O
was	O
not	O
viewed	O
as	O
a	O
criminal	O
investigation	O
until	O
16	O
December	O
2015	O
.	O
It	O
was	O
only	O
after	O
a	O
lengthy	O
investigation	O
that	O
,	O
in	O
November	O
2017	O
,	O
a	O
summons	O
alleging	O
manslaughter	B-offence
was	O
issued	O
.	O

Before	O
leaving	O
the	O
case	O
,	O
we	O
must	O
express	O
our	O
gratitude	O
to	O
Mr	B-victim_is_male
Anders	O
who	O
,	O
acting	O

The	O
appellant	O
'	O
s	O
police	O
interview	O
was	O
in	O
evidence	O
.	O
In	O
that	O
interview	O
she	O
spoke	O
about	O
suffering	O
from	O
sexual	O
,	O
mental	O
and	O
physical	O
abuse	O
inflicted	O
by	O
her	B-defendant_is_female
mother	O
for	O
at	O
least	O
eight	O
years	O
.	O
She	O
said	O
that	O
she	O
felt	O
trapped	O
and	O
unable	O
to	O
escape	O
.	O
She	O
said	O
that	O
she	O
lost	O
control	O
;	O
it	O
was	O
an	O
accident	O
;	O
she	O
did	O
not	O
intend	O
to	O
hurt	O
her	B-defendant_is_female
mother	O
.	O
Her	O
mother	O
had	O
a	O
complex	O
psychiatric	O
history	O
and	O
had	O
told	O
the	O
appellant	O
that	O
she	O
was	O
a	O
failure	O
as	O
a	O
daughter	O
.	O
She	O
said	O
that	O
the	O
deceased	O
had	O
started	O
an	O
argument	O
about	O
the	O
bills	O
and	O
""""	O
My	O
emotions	O
blew	O
out	O
of	O
proportion	O
,	O
and	O
that	O
'	O
s	O
why	O
I	O
got	O
the	O
knife	O
out	O
of	O
the	O
drawer	O
and	O
stabbed	O
her	B-defendant_is_female
with	O
it	O
,	O
and	O
she	O
pleaded	O
[	O
with	O
]	O
me	O
to	O
do	O
it	O
.	O
It	O
was	O
an	O
accident	O
"""."	O
Her	O
mother	O
had	O
been	O
threatening	O
her	B-defendant_is_female
with	O
scissors	O
and	O
said	O
that	O
she	O
was	O
going	O
to	O
end	O
the	O
appellant	O
'	O
s	O
life	O
.	O
The	O
appellant	O
had	O
put	O
the	O
scissors	O
back	O
in	O
the	O
drawer	O
.	O
She	O
repeated	O
that	O
she	O
her	B-defendant_is_female
emotions	O
had	O
""""	O
flipped	O
""""	O
and	O
she	O
had	O
lost	O
control	O
.	O
She	O
had	O
tried	O
to	O
revive	O
her	B-defendant_is_female
mother	O
and	O
staunch	O
the	O
blood	O
,	O
but	O
there	O
was	O
too	O
much	O
.	O
She	O
was	O
shocked	O
and	O
delusional	O
.	O

have	O
been	O
substantially	O
impaired	O
,	O
not	O
that	O
it	O
had	O
been	O
.	O
The	O
prosecution	O
